Order ID,Order Date,Ship Date,Segment,Country,City,Category,Sub-Category,Sales,Quantity,Discount,Profit
IN-2023-1000,2023-11-11,2023-08-21,Consumer,India,Kolkata,Technology,Copiers,1477.39,5,0.05,-258.85
IN-2023-1001,2023-05-01,2023-12-26,Consumer,India,Bengaluru,Technology,Accessories,1457.9,6,0.05,-225.3
IN-2023-1002,2023-09-03,2023-05-19,Consumer,India,Hyderabad,Office Supplies,Binders,1073.31,3,0.2,119.55
IN-2023-1003,2023-10-09,2023-10-21,Consumer,India,Kolkata,Technology,Phones,75.87,9,0.2,11.43
IN-2023-1004,2023-04-18,2023-08-04,Home Office,India,Delhi,Office Supplies,Storage,287.97,8,0.1,123.09
IN-2023-1005,2023-10-12,2023-02-10,Corporate,India,Pune,Office Supplies,Paper,1116.09,6,0.3,530.89
IN-2023-1006,2023-08-21,2023-02-15,Corporate,India,Kolkata,Office Supplies,Storage,1847.65,8,0.2,-487.44
IN-2023-1007,2023-01-25,2023-07-09,Corporate,India,Hyderabad,Furniture,Furnishings,597.82,9,0.3,204.31
IN-2023-1008,2023-11-05,2023-10-07,Home Office,India,Mumbai,Furniture,Furnishings,437.74,8,0.1,145.39
IN-2023-1009,2023-07-24,2023-05-03,Home Office,India,Hyderabad,Office Supplies,Binders,1265.43,2,0.0,-315.29
IN-2023-1010,2023-07-14,2023-07-27,Home Office,India,Hyderabad,Office Supplies,Pens,796.71,3,0.0,220.99
IN-2023-1011,2023-04-05,2023-07-07,Home Office,India,Bengaluru,Furniture,Bookcases,99.57,3,0.0,-4.83
IN-2023-1012,2023-12-02,2023-10-13,Home Office,India,Chennai,Furniture,Bookcases,496.16,7,0.1,126.93
IN-2023-1013,2023-07-25,2023-07-01,Consumer,India,Pune,Office Supplies,Binders,940.24,4,0.1,-38.1
IN-2023-1014,2023-08-27,2023-09-05,Home Office,India,Pune,Furniture,Chairs,51.01,9,0.1,-15.02
IN-2023-1015,2023-01-26,2023-04-12,Corporate,India,Delhi,Furniture,Bookcases,526.04,6,0.0,12.14
IN-2023-1016,2023-02-02,2023-12-22,Corporate,India,Mumbai,Office Supplies,Pens,636.71,1,0.0,-55.12
IN-2023-1017,2023-06-23,2023-04-23,Consumer,India,Hyderabad,Technology,Phones,517.15,2,0.3,47.35
IN-2023-1018,2023-06-22,2023-11-16,Home Office,India,Hyderabad,Technology,Copiers,1470.02,8,0.3,302.6
IN-2023-1019,2023-04-19,2023-10-03,Home Office,India,Pune,Furniture,Chairs,1406.83,3,0.2,-55.19
IN-2023-1020,2023-11-25,2023-09-18,Home Office,India,Delhi,Technology,Machines,1884.02,8,0.05,697.4
IN-2023-1021,2023-02-01,2023-12-05,Corporate,India,Bengaluru,Technology,Machines,552.99,9,0.2,68.42
IN-2023-1022,2023-03-20,2023-08-22,Home Office,India,Kolkata,Furniture,Furnishings,711.11,3,0.1,199.65
IN-2023-1023,2023-09-03,2023-09-18,Home Office,India,Hyderabad,Furniture,Furnishings,365.18,6,0.2,60.09
IN-2023-1024,2023-01-14,2023-05-16,Corporate,India,Pune,Office Supplies,Paper,924.43,9,0.2,249.36
IN-2023-1025,2023-08-27,2023-11-02,Consumer,India,Hyderabad,Technology,Machines,1107.95,3,0.3,99.04
IN-2023-1026,2023-03-04,2023-03-17,Consumer,India,Delhi,Furniture,Tables,1354.4,1,0.3,-156.91
IN-2023-1027,2023-05-24,2023-01-14,Corporate,India,Chennai,Furniture,Furnishings,595.14,6,0.1,177.46
IN-2023-1028,2023-02-25,2023-10-22,Home Office,India,Delhi,Furniture,Bookcases,1713.37,5,0.0,-79.61
IN-2023-1029,2023-10-02,2023-10-17,Corporate,India,Bengaluru,Office Supplies,Pens,1249.26,6,0.05,-120.76
IN-2023-1030,2023-09-24,2023-12-26,Home Office,India,Pune,Furniture,Chairs,751.01,7,0.05,261.42
IN-2023-1031,2023-07-22,2023-03-25,Consumer,India,Delhi,Technology,Phones,1317.43,3,0.2,214.86
IN-2023-1032,2023-06-15,2023-06-11,Corporate,India,Chennai,Office Supplies,Pens,1685.92,6,0.0,-455.4
IN-2023-1033,2023-04-15,2023-03-23,Consumer,India,Delhi,Furniture,Chairs,470.85,5,0.2,175.92
IN-2023-1034,2023-07-26,2023-05-26,Corporate,India,Pune,Furniture,Tables,130.08,8,0.1,6.66
IN-2023-1035,2023-01-15,2023-02-22,Home Office,India,Kolkata,Furniture,Tables,1407.15,5,0.0,-227.06
IN-2023-1036,2023-07-03,2023-12-26,Consumer,India,Chennai,Furniture,Furnishings,1294.63,7,0.3,245.17
IN-2023-1037,2023-04-05,2023-12-16,Corporate,India,Hyderabad,Technology,Phones,716.67,5,0.0,-36.46
IN-2023-1038,2023-05-04,2023-02-20,Consumer,India,Kolkata,Office Supplies,Paper,725.29,5,0.05,139.75
IN-2023-1039,2023-08-16,2023-07-02,Corporate,India,Mumbai,Technology,Accessories,1031.12,1,0.3,254.86
IN-2023-1040,2023-01-19,2023-11-05,Home Office,India,Delhi,Furniture,Furnishings,1172.17,2,0.1,251.58
IN-2023-1041,2023-03-23,2023-01-26,Consumer,India,Bengaluru,Technology,Phones,453.03,2,0.3,-101.68
IN-2023-1042,2023-10-21,2023-02-13,Corporate,India,Bengaluru,Furniture,Tables,714.22,3,0.0,69.16
IN-2023-1043,2023-08-03,2023-01-03,Consumer,India,Chennai,Technology,Phones,1936.78,4,0.05,75.1
IN-2023-1044,2023-07-25,2023-03-09,Home Office,India,Kolkata,Office Supplies,Binders,1864.98,5,0.2,80.56
IN-2023-1045,2023-01-04,2023-12-09,Consumer,India,Pune,Office Supplies,Binders,1018.29,9,0.3,424.03
IN-2023-1046,2023-05-05,2023-03-12,Consumer,India,Kolkata,Technology,Copiers,1915.76,4,0.1,180.89
IN-2023-1047,2023-05-10,2023-10-07,Home Office,India,Chennai,Furniture,Furnishings,1517.13,7,0.0,-317.43
IN-2023-1048,2023-10-12,2023-01-06,Corporate,India,Chennai,Office Supplies,Pens,1487.22,2,0.2,372.44
IN-2023-1049,2023-06-19,2023-08-16,Consumer,India,Bengaluru,Technology,Accessories,823.47,2,0.3,91.13
IN-2023-1050,2023-04-06,2023-12-19,Corporate,India,Delhi,Furniture,Chairs,511.54,7,0.0,88.76
IN-2023-1051,2023-02-26,2023-04-08,Corporate,India,Kolkata,Furniture,Furnishings,877.23,3,0.1,-85.14
IN-2023-1052,2023-08-01,2023-06-21,Consumer,India,Kolkata,Furniture,Bookcases,1504.79,9,0.2,-107.49
IN-2023-1053,2023-05-04,2023-03-19,Consumer,India,Chennai,Office Supplies,Paper,134.16,5,0.3,66.32
IN-2023-1054,2023-03-16,2023-07-25,Home Office,India,Hyderabad,Furniture,Tables,472.78,1,0.3,121.76
